M       4.5498           272.50       0.0031      -0.0000

M       4.5861           270.35       0.0978      -0.0000

M       4.5982           269.64       0.0183      -0.0000

M       4.6002           269.52       0.0000       0.0000

M       4.8046           258.06       0.0000      -0.0000

N       3.0928           400.88       0.0000       0.0000

N       3.3347           371.80       0.0000       0.0000

N       3.4149           363.07       0.1720      -0.0000

N       3.6469           339.97       0.0002       0.0000

N       3.7732           328.60       0.0210      -0.0000

N       3.8152           324.97       0.0182      -0.0000

N       3.8866           319.00       0.0006      -0.0000

N       3.9047           317.52       0.0003       0.0000

N       4.0299           307.66       0.0014      -0.0000

N       4.1030           302.18       0.0013      -0.0000

O       2.9856           415.28       0.0016       3.1025

O       3.4007           364.58       0.1142      -2.5245

O       3.5145           352.78       0.0009       1.8617

O       3.7299           332.41       0.0005       1.0744

O       3.7508           330.55       0.0026       7.6183

O       3.7788           328.11       0.0136      -7.7732

O       3.8472           322.27       0.0195       1.9304

O       3.9191           316.36       0.0011      -0.3309

O       3.9810           311.44       0.0001      -1.0894

O       4.2897           289.03       0.0068      -1.0319

P       2.8642           432.88       0.0335      17.7928

P       2.9688           417.63       0.0000       0.1665

P       3.2564           380.74       0.0206      28.5334

P       3.3632           368.65       0.0049      13.2375

P       3.5846           345.88       0.0671     -31.3286

P       3.8409           322.80       0.0002      -1.0629

P       3.8994           317.96       0.0045      10.2246

P       3.9560           313.41       0.0079      17.7638

P       4.0130           308.95       0.0274      -5.3135

P       4.0818           303.75       0.0029       8.7080

Q       3.6926           335.76       0.0604      16.5075

Q       3.8783           319.69       0.0075      -4.6596

Q       4.0015           309.84       0.0108      -6.3185

Q       4.1453           299.09       0.0092       2.8208

Q       4.3021           288.19       0.0033       4.0413

Q       4.3469           285.22       0.0001       0.9196

Q       4.5528           272.33       0.0001       0.3687

Q       4.5862           270.34       0.0068       1.7170

Q       4.6670           265.66       0.0428     -41.4076

Q       4.8570           255.27       0.0648    -254.5137

R       3.1509           393.49       0.0000      -0.0000

R       3.2043           386.93       0.0000      -0.0000

R       3.4479           359.60       0.2268      -0.0000

R       3.7173           333.54       0.0000       0.0000

R       3.7301           332.39       0.0003      -0.0000

R       3.7314           332.28       0.0003       0.0000

R       3.9399           314.69       0.0181       0.0000

R       3.9401           314.67       0.0180      -0.0000

R       3.9921           310.58       0.0001       0.0000

R       3.9945           310.39       0.0001       0.0000

